language,languageLabel,pop
http://www.wikidata.org/entity/Q13301,Khoekhoe,250000
http://www.wikidata.org/entity/Q32145,Ripuarian,250000
http://www.wikidata.org/entity/Q56239,Bade,250000
http://www.wikidata.org/entity/Q33205,Badaga,245000
http://www.wikidata.org/entity/Q33081,Dzongkha,237080
http://www.wikidata.org/entity/Q33315,Herero,237000
http://www.wikidata.org/entity/Q36432,Safaliba,237000
http://www.wikidata.org/entity/Q1143040,Enga,230000
http://www.wikidata.org/entity/Q33093,Basaa,230000
http://www.wikidata.org/entity/Q56870,Nishi,230000
http://www.wikidata.org/entity/Q15087,Franco-Provençal,227000
http://www.wikidata.org/entity/Q36126,Komi,219100
http://www.wikidata.org/entity/Q36098,Lamba,219000
http://www.wikidata.org/entity/Q3915365,Engenni,211000
http://www.wikidata.org/entity/Q12107,Breton,206000
http://www.wikidata.org/entity/Q30007,Extremaduran,201500
http://www.wikidata.org/entity/Q508332,Burgundian,200000
http://www.wikidata.org/entity/Q3083213,Louisiana French,200000
